arm,source,target,seed,dataset,status,missing_reason,clips_expected,clips_scored,frames,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes,estimated_total,matched_nodes,edge_weight,adjusted_edge_contribution,edge_jaccard,adj_edge_jaccard,division_jaccard,score,delta_C00,delta_C01,disabled_policy,accepted_actions,changed_edges,introduced_division_fp,newly_recovered_division_tp,lost_division_tp,metric_revision
C00,44b6,6bba,20260918,6bba_d5eae175,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_d6ecebbb,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_d82a4fc6,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_debd7bfa,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_df673a83,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_e16ffc58,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_e5e44988,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_ebdf3b34,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_ebff6e76,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_ed9377fd,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_edf14583,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_eebc57a5,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_ef7b4f7e,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
C00,44b6,6bba,20260918,6bba_f17befbc,pending,complete frozen prediction and official score pending,1,0,,,,,,,,,,,,,,,,,,,False,,,,,,075fc5f5a52d11077f9dc2b074644618f26939e2
