arm,embryo,dimension,stratum,metric,count,status
A10_replication,6bba,local_contrast,high,division_fp,29,measured
A10_replication,6bba,local_contrast,high,division_tp,12,measured
A10_replication,6bba,local_contrast,high,edge_fn,433,measured
A10_replication,6bba,local_contrast,high,edge_fp,630,measured
A10_replication,6bba,local_contrast,high,edge_tp,34186,measured
A10_replication,6bba,local_contrast,low,division_fn,18,measured
A10_replication,6bba,local_contrast,low,division_fp,8,measured
A10_replication,6bba,local_contrast,low,division_tp,3,measured
A10_replication,6bba,local_contrast,low,edge_fn,1262,measured
A10_replication,6bba,local_contrast,low,edge_fp,1880,measured
A10_replication,6bba,local_contrast,low,edge_tp,27027,measured
A10_replication,6bba,local_contrast,middle,division_fn,39,measured
A10_replication,6bba,local_contrast,middle,division_fp,33,measured
A10_replication,6bba,local_contrast,middle,division_tp,7,measured
A10_replication,6bba,local_contrast,middle,edge_fn,977,measured
A10_replication,6bba,local_contrast,middle,edge_fp,1403,measured
A10_replication,6bba,local_contrast,middle,edge_tp,43094,measured
A10_replication,6bba,local_contrast,no_assigned_observation,division_fn,2,measured
A10_replication,6bba,local_contrast,no_assigned_observation,edge_fn,2078,measured
A10_replication,6bba,spatial_boundary,interior,division_fn,82,measured
A10_replication,6bba,spatial_boundary,interior,division_fp,55,measured
A10_replication,6bba,spatial_boundary,interior,division_tp,21,measured
A10_replication,6bba,spatial_boundary,interior,edge_fn,2968,measured
A10_replication,6bba,spatial_boundary,interior,edge_fp,2530,measured
A10_replication,6bba,spatial_boundary,interior,edge_tp,70020,measured
A10_replication,6bba,spatial_boundary,within_7um,division_fn,21,measured
A10_replication,6bba,spatial_boundary,within_7um,division_fp,15,measured
A10_replication,6bba,spatial_boundary,within_7um,division_tp,1,measured
A10_replication,6bba,spatial_boundary,within_7um,edge_fn,1782,measured
A10_replication,6bba,spatial_boundary,within_7um,edge_fp,1383,measured
A10_replication,6bba,spatial_boundary,within_7um,edge_tp,34287,measured
A10_replication,6bba,temporal_boundary,boundary,division_fn,4,measured
A10_replication,6bba,temporal_boundary,boundary,edge_fn,265,measured
A10_replication,6bba,temporal_boundary,boundary,edge_fp,114,measured
A10_replication,6bba,temporal_boundary,boundary,edge_tp,4372,measured
A10_replication,6bba,temporal_boundary,interior,division_fn,99,measured
A10_replication,6bba,temporal_boundary,interior,division_fp,70,measured
A10_replication,6bba,temporal_boundary,interior,division_tp,22,measured
A10_replication,6bba,temporal_boundary,interior,edge_fn,4485,measured
A10_replication,6bba,temporal_boundary,interior,edge_fp,3799,measured
A10_replication,6bba,temporal_boundary,interior,edge_tp,99935,measured
C4_m6,44b6,close_cells,isolated,division_fn,15,measured
C4_m6,44b6,close_cells,isolated,division_fp,18,measured
C4_m6,44b6,close_cells,isolated,division_tp,5,measured
C4_m6,44b6,close_cells,isolated,edge_fn,644,measured
C4_m6,44b6,close_cells,isolated,edge_fp,656,measured
C4_m6,44b6,close_cells,isolated,edge_tp,14372,measured
C4_m6,44b6,close_cells,within_7um_competitor,division_fn,3,measured
C4_m6,44b6,close_cells,within_7um_competitor,division_fp,4,measured
C4_m6,44b6,close_cells,within_7um_competitor,division_tp,3,measured
C4_m6,44b6,close_cells,within_7um_competitor,edge_fn,316,measured
C4_m6,44b6,close_cells,within_7um_competitor,edge_fp,430,measured
C4_m6,44b6,close_cells,within_7um_competitor,edge_tp,4494,measured
C4_m6,44b6,density10,high,division_fn,4,measured
C4_m6,44b6,density10,high,division_fp,4,measured
C4_m6,44b6,density10,high,division_tp,4,measured
C4_m6,44b6,density10,high,edge_fn,321,measured
C4_m6,44b6,density10,high,edge_fp,449,measured
C4_m6,44b6,density10,high,edge_tp,5657,measured
C4_m6,44b6,density10,low,division_fn,3,measured
C4_m6,44b6,density10,low,division_fp,5,measured
C4_m6,44b6,density10,low,division_tp,3,measured
C4_m6,44b6,density10,low,edge_fn,54,measured
C4_m6,44b6,density10,low,edge_fp,85,measured
C4_m6,44b6,density10,low,edge_tp,3115,measured
C4_m6,44b6,density10,middle,division_fn,11,measured
C4_m6,44b6,density10,middle,division_fp,13,measured
C4_m6,44b6,density10,middle,division_tp,1,measured
C4_m6,44b6,density10,middle,edge_fn,370,measured
C4_m6,44b6,density10,middle,edge_fp,552,measured
C4_m6,44b6,density10,middle,edge_tp,10094,measured
C4_m6,44b6,density10,no_assigned_observation,edge_fn,215,measured
C4_m6,44b6,depth,high,division_fn,5,measured
C4_m6,44b6,depth,high,division_fp,5,measured
C4_m6,44b6,depth,high,division_tp,2,measured
C4_m6,44b6,depth,high,edge_fn,269,measured
C4_m6,44b6,depth,high,edge_fp,314,measured
C4_m6,44b6,depth,high,edge_tp,4483,measured
C4_m6,44b6,depth,low,division_fn,4,measured
C4_m6,44b6,depth,low,division_fp,3,measured
C4_m6,44b6,depth,low,division_tp,1,measured
C4_m6,44b6,depth,low,edge_fn,244,measured
C4_m6,44b6,depth,low,edge_fp,236,measured
C4_m6,44b6,depth,low,edge_tp,4484,measured
C4_m6,44b6,depth,middle,division_fn,9,measured
C4_m6,44b6,depth,middle,division_fp,14,measured
C4_m6,44b6,depth,middle,division_tp,5,measured
C4_m6,44b6,depth,middle,edge_fn,447,measured
C4_m6,44b6,depth,middle,edge_fp,536,measured
C4_m6,44b6,depth,middle,edge_tp,9899,measured
C4_m6,44b6,event_support,division_extra,division_fp,22,measured
C4_m6,44b6,event_support,division_no_fork,division_fn,16,measured
C4_m6,44b6,event_support,division_observation,division_fn,2,measured
C4_m6,44b6,intensity,high,division_fn,4,measured
