dataset,embryo,bucket,events
44b6_8f5ab931,44b6,missing_parent,0
44b6_8f5ab931,44b6,unsupported_HOCT_score,0
44b6_8f5ab931,44b6,wrong_timing,0
44b6_8f9ecab4,44b6,C0_official_recovered,0
44b6_8f9ecab4,44b6,available_unselected_evidence,0
44b6_8f9ecab4,44b6,conflict_or_protection_loss,0
44b6_8f9ecab4,44b6,insufficient_candidates,0
44b6_8f9ecab4,44b6,missing_daughter,0
44b6_8f9ecab4,44b6,missing_downstream_path,0
44b6_8f9ecab4,44b6,missing_parent,0
44b6_8f9ecab4,44b6,unsupported_HOCT_score,0
44b6_8f9ecab4,44b6,wrong_timing,0
44b6_90724892,44b6,C0_official_recovered,0
44b6_90724892,44b6,available_unselected_evidence,0
44b6_90724892,44b6,conflict_or_protection_loss,0
44b6_90724892,44b6,insufficient_candidates,0
44b6_90724892,44b6,missing_daughter,0
44b6_90724892,44b6,missing_downstream_path,0
44b6_90724892,44b6,missing_parent,0
44b6_90724892,44b6,unsupported_HOCT_score,0
44b6_90724892,44b6,wrong_timing,0
44b6_949adeb1,44b6,C0_official_recovered,0
44b6_949adeb1,44b6,available_unselected_evidence,0
44b6_949adeb1,44b6,conflict_or_protection_loss,0
44b6_949adeb1,44b6,insufficient_candidates,0
44b6_949adeb1,44b6,missing_daughter,0
44b6_949adeb1,44b6,missing_downstream_path,0
44b6_949adeb1,44b6,missing_parent,0
44b6_949adeb1,44b6,unsupported_HOCT_score,0
44b6_949adeb1,44b6,wrong_timing,0
44b6_95029e92,44b6,C0_official_recovered,0
44b6_95029e92,44b6,available_unselected_evidence,0
44b6_95029e92,44b6,conflict_or_protection_loss,0
44b6_95029e92,44b6,insufficient_candidates,0
44b6_95029e92,44b6,missing_daughter,0
44b6_95029e92,44b6,missing_downstream_path,0
44b6_95029e92,44b6,missing_parent,0
44b6_95029e92,44b6,unsupported_HOCT_score,0
44b6_95029e92,44b6,wrong_timing,0
44b6_97725144,44b6,C0_official_recovered,0
44b6_97725144,44b6,available_unselected_evidence,0
44b6_97725144,44b6,conflict_or_protection_loss,0
44b6_97725144,44b6,insufficient_candidates,0
44b6_97725144,44b6,missing_daughter,0
44b6_97725144,44b6,missing_downstream_path,0
44b6_97725144,44b6,missing_parent,0
44b6_97725144,44b6,unsupported_HOCT_score,0
44b6_97725144,44b6,wrong_timing,0
44b6_996155de,44b6,C0_official_recovered,1
44b6_996155de,44b6,available_unselected_evidence,0
44b6_996155de,44b6,conflict_or_protection_loss,0
44b6_996155de,44b6,insufficient_candidates,0
44b6_996155de,44b6,missing_daughter,0
44b6_996155de,44b6,missing_downstream_path,0
44b6_996155de,44b6,missing_parent,0
44b6_996155de,44b6,unsupported_HOCT_score,0
44b6_996155de,44b6,wrong_timing,0
44b6_9be80b04,44b6,C0_official_recovered,0
44b6_9be80b04,44b6,available_unselected_evidence,1
44b6_9be80b04,44b6,conflict_or_protection_loss,0
44b6_9be80b04,44b6,insufficient_candidates,0
44b6_9be80b04,44b6,missing_daughter,0
44b6_9be80b04,44b6,missing_downstream_path,0
44b6_9be80b04,44b6,missing_parent,0
44b6_9be80b04,44b6,unsupported_HOCT_score,0
44b6_9be80b04,44b6,wrong_timing,0
44b6_9bfa6a0a,44b6,C0_official_recovered,0
44b6_9bfa6a0a,44b6,available_unselected_evidence,0
44b6_9bfa6a0a,44b6,conflict_or_protection_loss,0
44b6_9bfa6a0a,44b6,insufficient_candidates,0
44b6_9bfa6a0a,44b6,missing_daughter,0
44b6_9bfa6a0a,44b6,missing_downstream_path,0
44b6_9bfa6a0a,44b6,missing_parent,0
44b6_9bfa6a0a,44b6,unsupported_HOCT_score,0
44b6_9bfa6a0a,44b6,wrong_timing,0
44b6_a21120c2,44b6,C0_official_recovered,1
44b6_a21120c2,44b6,available_unselected_evidence,1
44b6_a21120c2,44b6,conflict_or_protection_loss,0
44b6_a21120c2,44b6,insufficient_candidates,0
44b6_a21120c2,44b6,missing_daughter,0
44b6_a21120c2,44b6,missing_downstream_path,0
44b6_a21120c2,44b6,missing_parent,0
44b6_a21120c2,44b6,unsupported_HOCT_score,0
44b6_a21120c2,44b6,wrong_timing,0
44b6_a2bb48bb,44b6,C0_official_recovered,0
44b6_a2bb48bb,44b6,available_unselected_evidence,0
44b6_a2bb48bb,44b6,conflict_or_protection_loss,0
44b6_a2bb48bb,44b6,insufficient_candidates,0
44b6_a2bb48bb,44b6,missing_daughter,0
44b6_a2bb48bb,44b6,missing_downstream_path,0
44b6_a2bb48bb,44b6,missing_parent,0
44b6_a2bb48bb,44b6,unsupported_HOCT_score,0
44b6_a2bb48bb,44b6,wrong_timing,0
44b6_aaf8b0ea,44b6,C0_official_recovered,0
44b6_aaf8b0ea,44b6,available_unselected_evidence,0
44b6_aaf8b0ea,44b6,conflict_or_protection_loss,0
44b6_aaf8b0ea,44b6,insufficient_candidates,0
44b6_aaf8b0ea,44b6,missing_daughter,1
44b6_aaf8b0ea,44b6,missing_downstream_path,0
44b6_aaf8b0ea,44b6,missing_parent,0
44b6_aaf8b0ea,44b6,unsupported_HOCT_score,0
44b6_aaf8b0ea,44b6,wrong_timing,0
44b6_abf82518,44b6,C0_official_recovered,0
44b6_abf82518,44b6,available_unselected_evidence,0
44b6_abf82518,44b6,conflict_or_protection_loss,0
44b6_abf82518,44b6,insufficient_candidates,0
44b6_abf82518,44b6,missing_daughter,0
44b6_abf82518,44b6,missing_downstream_path,0
44b6_abf82518,44b6,missing_parent,0
44b6_abf82518,44b6,unsupported_HOCT_score,0
44b6_abf82518,44b6,wrong_timing,0
44b6_b2c44266,44b6,C0_official_recovered,0
44b6_b2c44266,44b6,available_unselected_evidence,0
44b6_b2c44266,44b6,conflict_or_protection_loss,0
44b6_b2c44266,44b6,insufficient_candidates,0
44b6_b2c44266,44b6,missing_daughter,0
44b6_b2c44266,44b6,missing_downstream_path,0
44b6_b2c44266,44b6,missing_parent,0
44b6_b2c44266,44b6,unsupported_HOCT_score,0
44b6_b2c44266,44b6,wrong_timing,0
44b6_c15fded2,44b6,C0_official_recovered,0
44b6_c15fded2,44b6,available_unselected_evidence,0
44b6_c15fded2,44b6,conflict_or_protection_loss,0
44b6_c15fded2,44b6,insufficient_candidates,0
44b6_c15fded2,44b6,missing_daughter,0
44b6_c15fded2,44b6,missing_downstream_path,0
44b6_c15fded2,44b6,missing_parent,0
44b6_c15fded2,44b6,unsupported_HOCT_score,0
44b6_c15fded2,44b6,wrong_timing,0
44b6_c50204e0,44b6,C0_official_recovered,1
44b6_c50204e0,44b6,available_unselected_evidence,1
44b6_c50204e0,44b6,conflict_or_protection_loss,0
44b6_c50204e0,44b6,insufficient_candidates,0
44b6_c50204e0,44b6,missing_daughter,0
44b6_c50204e0,44b6,missing_downstream_path,0
44b6_c50204e0,44b6,missing_parent,0
44b6_c50204e0,44b6,unsupported_HOCT_score,0
44b6_c50204e0,44b6,wrong_timing,0
44b6_c771cb04,44b6,C0_official_recovered,0
44b6_c771cb04,44b6,available_unselected_evidence,0
44b6_c771cb04,44b6,conflict_or_protection_loss,0
44b6_c771cb04,44b6,insufficient_candidates,0
44b6_c771cb04,44b6,missing_daughter,0
44b6_c771cb04,44b6,missing_downstream_path,0
44b6_c771cb04,44b6,missing_parent,0
44b6_c771cb04,44b6,unsupported_HOCT_score,0
44b6_c771cb04,44b6,wrong_timing,0
44b6_c8e2a523,44b6,C0_official_recovered,0
44b6_c8e2a523,44b6,available_unselected_evidence,1
44b6_c8e2a523,44b6,conflict_or_protection_loss,0
44b6_c8e2a523,44b6,insufficient_candidates,0
44b6_c8e2a523,44b6,missing_daughter,0
44b6_c8e2a523,44b6,missing_downstream_path,0
44b6_c8e2a523,44b6,missing_parent,0
44b6_c8e2a523,44b6,unsupported_HOCT_score,0
44b6_c8e2a523,44b6,wrong_timing,0
44b6_c96cfa10,44b6,C0_official_recovered,0
44b6_c96cfa10,44b6,available_unselected_evidence,0
44b6_c96cfa10,44b6,conflict_or_protection_loss,0
44b6_c96cfa10,44b6,insufficient_candidates,0
44b6_c96cfa10,44b6,missing_daughter,0
44b6_c96cfa10,44b6,missing_downstream_path,0
44b6_c96cfa10,44b6,missing_parent,0
44b6_c96cfa10,44b6,unsupported_HOCT_score,0
44b6_c96cfa10,44b6,wrong_timing,0
44b6_cf2536e8,44b6,C0_official_recovered,0
44b6_cf2536e8,44b6,available_unselected_evidence,0
44b6_cf2536e8,44b6,conflict_or_protection_loss,0
44b6_cf2536e8,44b6,insufficient_candidates,0
44b6_cf2536e8,44b6,missing_daughter,0
44b6_cf2536e8,44b6,missing_downstream_path,0
44b6_cf2536e8,44b6,missing_parent,0
44b6_cf2536e8,44b6,unsupported_HOCT_score,0
44b6_cf2536e8,44b6,wrong_timing,0
44b6_cf8fed6b,44b6,C0_official_recovered,0
44b6_cf8fed6b,44b6,available_unselected_evidence,0
44b6_cf8fed6b,44b6,conflict_or_protection_loss,0
44b6_cf8fed6b,44b6,insufficient_candidates,0
44b6_cf8fed6b,44b6,missing_daughter,0
44b6_cf8fed6b,44b6,missing_downstream_path,0
44b6_cf8fed6b,44b6,missing_parent,0
44b6_cf8fed6b,44b6,unsupported_HOCT_score,0
