dataset,embryo,cap,edges,gt_transitions_covered,gt_transitions_lost_given_endpoints
6bba_d1acb6ff,6bba,4,38238,621,1
6bba_d1acb6ff,6bba,8,38242,621,1
6bba_d1acb6ff,6bba,16,38242,621,1
6bba_d2b9fc0c,6bba,4,42466,921,0
6bba_d2b9fc0c,6bba,8,42473,921,0
6bba_d2b9fc0c,6bba,16,42473,921,0
6bba_d3da753b,6bba,4,38552,852,3
6bba_d3da753b,6bba,8,38555,852,3
6bba_d3da753b,6bba,16,38555,852,3
6bba_d5eae175,6bba,4,5468,519,0
6bba_d5eae175,6bba,8,5468,519,0
6bba_d5eae175,6bba,16,5468,519,0
6bba_d6ecebbb,6bba,4,9484,854,1
6bba_d6ecebbb,6bba,8,9484,854,1
6bba_d6ecebbb,6bba,16,9484,854,1
6bba_d82a4fc6,6bba,4,83864,520,0
6bba_d82a4fc6,6bba,8,85271,520,0
6bba_d82a4fc6,6bba,16,85271,520,0
6bba_debd7bfa,6bba,4,27551,723,0
6bba_debd7bfa,6bba,8,27554,723,0
6bba_debd7bfa,6bba,16,27554,723,0
6bba_df673a83,6bba,4,46169,649,0
6bba_df673a83,6bba,8,46174,649,0
6bba_df673a83,6bba,16,46174,649,0
6bba_e16ffc58,6bba,4,8834,940,0
6bba_e16ffc58,6bba,8,8834,940,0
6bba_e16ffc58,6bba,16,8834,940,0
6bba_e5e44988,6bba,4,8596,625,0
6bba_e5e44988,6bba,8,8596,625,0
6bba_e5e44988,6bba,16,8596,625,0
6bba_ebdf3b34,6bba,4,200987,779,5
6bba_ebdf3b34,6bba,8,204191,779,5
6bba_ebdf3b34,6bba,16,204191,779,5
6bba_ebff6e76,6bba,4,145881,1132,34
6bba_ebff6e76,6bba,8,149211,1133,33
6bba_ebff6e76,6bba,16,149211,1133,33
6bba_ed9377fd,6bba,4,6662,497,0
6bba_ed9377fd,6bba,8,6662,497,0
6bba_ed9377fd,6bba,16,6662,497,0
6bba_edf14583,6bba,4,173279,758,0
6bba_edf14583,6bba,8,180191,758,0
6bba_edf14583,6bba,16,180191,758,0
6bba_eebc57a5,6bba,4,14922,957,4
6bba_eebc57a5,6bba,8,14922,957,4
6bba_eebc57a5,6bba,16,14922,957,4
6bba_ef7b4f7e,6bba,4,8679,1185,0
6bba_ef7b4f7e,6bba,8,8679,1185,0
6bba_ef7b4f7e,6bba,16,8679,1185,0
6bba_f17befbc,6bba,4,80337,960,12
6bba_f17befbc,6bba,8,81067,960,12
6bba_f17befbc,6bba,16,81067,960,12
6bba_f1fde7e0,6bba,4,20489,435,0
6bba_f1fde7e0,6bba,8,20489,435,0
6bba_f1fde7e0,6bba,16,20489,435,0
6bba_f20478e9,6bba,4,8937,950,0
