dataset,embryo,variant,predicted_tp_pairs_lost,predicted_tp_pairs_new,predicted_tp_pairs_retained,fp_pairs_lost,fp_pairs_new,fp_pairs_retained,recovered_gt_edges_lost,recovered_gt_edges_new,recovered_gt_edges_retained
6bba_ebdf3b34,6bba,A_residual_m3.0,0,0,761,0,0,33,0,0,761
6bba_ebff6e76,6bba,A_residual_m3.0,0,2,1032,0,0,250,0,2,1032
6bba_ed9377fd,6bba,A_residual_m3.0,0,0,497,0,0,2,0,0,497
6bba_edf14583,6bba,A_residual_m3.0,0,0,734,0,0,42,0,0,734
6bba_eebc57a5,6bba,A_residual_m3.0,0,1,927,0,0,71,0,1,927
6bba_ef7b4f7e,6bba,A_residual_m3.0,0,2,1176,0,0,7,0,2,1176
6bba_f17befbc,6bba,A_residual_m3.0,0,2,919,0,2,76,0,2,919
6bba_f1fde7e0,6bba,A_residual_m3.0,0,0,434,0,0,3,0,0,434
6bba_f20478e9,6bba,A_residual_m3.0,0,0,944,0,0,10,0,0,944
6bba_f4ae811c,6bba,A_residual_m3.0,0,5,954,0,0,3,0,5,954
6bba_f8ffd5e7,6bba,A_residual_m3.0,0,0,356,0,0,16,0,0,356
6bba_fbc898dc,6bba,A_residual_m3.0,0,1,634,0,0,6,0,1,634
6bba_fc516dc6,6bba,A_residual_m3.0,0,2,747,0,0,11,0,2,747
6bba_fc5f39dc,6bba,A_residual_m3.0,0,1,427,0,0,10,0,1,427
6bba_fc83837d,6bba,A_residual_m3.0,0,0,836,0,2,60,0,0,836
6bba_fe670320,6bba,A_residual_m3.0,0,0,672,0,0,5,0,0,672
