variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,seconds,delta_v2
D_replace_p020,pooled,199,199,0.9062218014526412,0.0455607476635514,39,705,112,0.982494434312724,0.909093537022135,199,0.9136496117884901,122523,6319,6360,4108943,214.66239753412083,-0.02055670318185021
D_replace_p040,44b6,71,71,0.8862067346076176,0.02610966057441253,10,357,16,0.9877569341470968,0.9008553232014733,71,0.9034662892589146,18870,1467,956,1972750,86.23320007091388,-0.028146097518416346
D_replace_p040,6bba,128,128,0.9111353174742612,0.06289308176100629,30,352,95,0.9795753914358454,0.9118167008647575,128,0.9181060090408582,103720,4779,5337,2136193,128.5225857095793,-0.016419240828674853
D_replace_p040,pooled,199,199,0.9072071872062991,0.046511627906976744,40,709,111,0.982494434312724,0.910089457900003,199,0.9147406206907006,122590,6246,6293,4108943,214.75578578049317,-0.019465694279639734
D_tabular_p010,44b6,71,71,0.8864635010630758,0.05303030303030303,7,106,19,0.9877569341470968,0.9011033442789511,71,0.9064063745819814,18762,1339,1064,1972750,85.81017343560234,-0.02520601219534957
D_tabular_p010,6bba,128,128,0.910535315007234,0.047407407407407405,32,550,93,0.9795753914358454,0.9112182443663385,128,0.9159589851070792,103842,4988,5215,2136193,127.5092998817563,-0.01856626476245382
D_tabular_p010,pooled,199,199,0.9067672509429776,0.048327137546468404,39,656,112,0.982494434312724,0.9096349157637976,199,0.9144676295184445,122604,6327,6279,4108943,213.31947331735864,-0.019738685451895832
D_tabular_p020,44b6,71,71,0.8884004537719796,0.06040268456375839,9,123,17,0.9877569341470968,0.9030530165948576,71,0.9090932850512334,18795,1330,1031,1972750,85.5433361781761,-0.0225191017260975
D_tabular_p020,6bba,128,128,0.9106097261666842,0.05007153075822604,35,574,90,0.9795753914358454,0.9112929162133667,128,0.9163000692891893,103886,5027,5171,2136193,127.94340134877712,-0.018225180580343725
D_tabular_p020,pooled,199,199,0.9071354628808045,0.05188679245283019,44,697,107,0.982494434312724,0.9100039239305423,199,0.9151926031758253,122681,6357,6202,4108943,213.48673752695322,-0.019013711794515054
D_tabular_p040,44b6,71,71,0.887059489550408,0.043478260869565216,8,158,18,0.9877569341470968,0.9016865427341894,71,0.9060343688211459,18803,1371,1023,1972750,85.5628877626732,-0.025578017956185084
D_tabular_p040,6bba,128,128,0.9102660730561593,0.05514157973174367,37,546,88,0.9795753914358454,0.9109483050780076,128,0.916462463051182,103865,5047,5192,2136193,128.58703007129952,-0.01806278681835105
D_tabular_p040,pooled,199,199,0.9066304018447757,0.05263157894736842,45,704,106,0.982494434312724,0.9094973063684496,199,0.9147604642631865,122668,6418,6215,4108943,214.14991783397272,-0.019445850707153878
R_heatmap_local,44b6,71,71,0.9021520803443328,0.14583333333333334,7,22,19,0.9877569341470968,0.9170290534439977,71,0.9316123867773309,18864,1084,962,1972750,86.37701319996268,0.0
R_heatmap_local,6bba,128,128,0.9225529879631188,0.11282051282051282,22,70,103,0.9795753914358454,0.9232431985874817,128,0.934525249869533,104159,3846,4898,2136193,130.18181315809488,0.0
