dataset,embryo,adj_edge_jaccard_v2,edge_tp_v2,edge_fp_v2,edge_fn_v2,division_tp_v2,division_fp_v2,division_fn_v2,num_pred_nodes_v2,adj_edge_jaccard_selected,edge_tp_selected,edge_fp_selected,edge_fn_selected,division_tp_selected,division_fp_selected,division_fn_selected,num_pred_nodes_selected,delta_adj_edge_jaccard,delta_edge_tp,delta_edge_fp,delta_edge_fn,delta_division_tp,delta_division_fp,delta_division_fn,delta_num_pred_nodes
44b6_c15fded2,44b6,0.920541815449504,98,5,4,0,0,0,19539,0.920541815449504,98,5,4,0,0,0,19539,0.0,0,0,0,0,0,0,0
44b6_c50204e0,44b6,0.8271453610493059,293,36,32,1,1,1,38081,0.8271453610493059,293,36,32,1,1,1,38081,0.0,0,0,0,0,0,0,0
44b6_c771cb04,44b6,0.8485041705891777,204,28,19,0,1,0,29877,0.8485041705891777,204,28,19,0,1,0,29877,0.0,0,0,0,0,0,0,0
44b6_c8e2a523,44b6,0.865881688437251,153,15,11,0,0,1,28827,0.865881688437251,153,15,11,0,0,1,28827,0.0,0,0,0,0,0,0,0
44b6_c96cfa10,44b6,0.9482552720195906,591,18,25,0,0,0,38261,0.9482552720195906,591,18,25,0,0,0,38261,0.0,0,0,0,0,0,0,0
44b6_cf2536e8,44b6,0.9299215165250662,71,6,4,0,0,0,22510,0.9299215165250662,71,6,4,0,0,0,22510,0.0,0,0,0,0,0,0,0
44b6_cf8fed6b,44b6,0.9529736688927326,184,6,4,0,0,0,41645,0.9529736688927326,184,6,4,0,0,0,41645,0.0,0,0,0,0,0,0,0
44b6_d29c9ab2,44b6,0.963362259197626,1302,29,26,0,0,0,36511,0.963362259197626,1302,29,26,0,0,0,36511,0.0,0,0,0,0,0,0,0
44b6_d2f34f90,44b6,0.9960594016402642,274,4,7,0,0,2,15396,0.9960594016402642,274,4,7,0,0,2,15396,0.0,0,0,0,0,0,0,0
44b6_d5e7d891,44b6,0.8574061572468379,829,77,64,0,1,2,43396,0.8574061572468379,829,77,64,0,1,2,43396,0.0,0,0,0,0,0,0,0
44b6_d78e09d9,44b6,0.8933843286828653,426,23,25,0,0,0,23584,0.8933843286828653,426,23,25,0,0,0,23584,0.0,0,0,0,0,0,0,0
44b6_db3c847b,44b6,0.8967110430672968,153,8,9,0,0,0,15572,0.8967110430672968,153,8,9,0,0,0,15572,0.0,0,0,0,0,0,0,0
44b6_ddf577ad,44b6,0.8798437890900633,604,59,43,0,0,0,38286,0.8798437890900633,604,59,43,0,0,0,38286,0.0,0,0,0,0,0,0,0
44b6_deabac95,44b6,0.9194248777885922,121,6,3,1,2,0,15694,0.9194248777885922,121,6,3,1,2,0,15694,0.0,0,0,0,0,0,0,0
44b6_e28840c6,44b6,0.9567062586878884,287,10,22,0,0,2,27352,0.9567062586878884,287,10,22,0,0,2,27352,0.0,0,0,0,0,0,0,0
44b6_e29f0176,44b6,0.8830111572297947,47,3,3,0,0,0,13522,0.8830111572297947,47,3,3,0,0,0,13522,0.0,0,0,0,0,0,0,0
44b6_e31261b4,44b6,0.8915254658345638,107,8,6,0,0,0,66901,0.8915254658345638,107,8,6,0,0,0,66901,0.0,0,0,0,0,0,0,0
44b6_e35b117d,44b6,0.8511707528752853,237,21,29,0,1,0,19836,0.8511707528752853,237,21,29,0,1,0,19836,0.0,0,0,0,0,0,0,0
44b6_e57ff5c6,44b6,0.8019832657133746,159,15,27,0,0,0,17505,0.8019832657133746,159,15,27,0,0,0,17505,0.0,0,0,0,0,0,0,0
