variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,delta_v3,matched_control,delta_vs_C1
D_synthetic,6bba,128,128,0.9050735352015328,0.0,0,0,125,0.9794821187788036,0.9057513635225312,128,0.9057513635225312,103449,5242,5608,2136193,-0.0294704205747957,C1,-0.029470420574796208
D_synthetic,pooled,199,199,0.9032689494140425,0.0,0,0,151,0.9824849197913464,0.9061378344105858,199,0.9061378344105858,122243,6451,6640,4108943,-0.0286645398500001,C1,-0.02866453985000017
D_synthetic_C4,44b6,71,71,0.9018727307471812,0.0689655172413793,2,3,24,0.987898420208325,0.9167609590650896,71,0.9236575107892276,18878,1106,948,1972750,-0.0080069579326144,C1,-0.00800695793261419
D_synthetic_C4,6bba,128,128,0.9210117006610344,0.0,0,6,125,0.9794821187788036,0.9216915105426908,128,0.9216915105426908,104218,4099,4839,2136193,-0.013530273554636,C1,-0.01353027355463654
D_synthetic_C4,pooled,199,199,0.9180239842491498,0.0125,2,9,149,0.9824849197913464,0.9209218197162996,199,0.9221718197162996,123096,5205,5787,4108943,-0.0126305545442862,C1,-0.01263055454428641
C1_seed2,44b6,71,71,0.902204581320836,0.1458333333333333,7,22,19,0.9877569341470968,0.9170811353885086,71,0.9316644687218418,18866,1085,960,1972750,-2.220446049250313e-16,C1_seed2,0.0
C1_seed2,6bba,128,128,0.923249245154378,0.1128205128205128,22,70,103,0.9795753914358454,0.923939732815276,128,0.9352217840973274,104269,3880,4788,2136193,3.3306690738754696e-16,C1_seed2,0.0
C1_seed2,pooled,199,199,0.9199614488076028,0.1193415637860082,29,92,122,0.982494434312724,0.9228682178819853,199,0.934802374260586,123135,4965,5748,4108943,0.0,C1_seed2,0.0
C4_seed2,44b6,71,71,0.9019317203786936,0.1458333333333333,7,22,19,0.9877569341470968,0.9168046836445696,71,0.931388016977903,18863,1088,963,1972750,-0.000276451743939,C1_seed2,-0.00027645174393886585
C4_seed2,6bba,128,128,0.9231647822352868,0.1111111111111111,22,73,103,0.9795753914358454,0.9238550729646684,128,0.9349661840757796,104265,3886,4792,2136193,-0.0002556000215475,C1_seed2,-0.00025560002154778605
