edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes,node_recall,total_node_ratio,edge_jaccard,adj_edge_jaccard,dataset,estimated_total,gt_node_recall,matched_nodes,graph_hash,metric_revision,variant,embryo,prediction_sha256,seconds,count_ratio,gt_node_count,exact_duplicate_centers,match_distance_sum_um,match_distance_squared_sum_um2,mean_match_distance_um,gt_division_parents,division_daughters_matched
544,14,16,0,0,0,45003,0.9929824561403509,-0.197235105244381,0.9477351916376306,0.9664278566642759,44b6_7e557709,56060,0.9929824561403509,566,d024a63a46901d6ea03f0861ea5b8e6dbdb49c57e554df1ee3797cbf613c8d2b,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,3565174f78e118d932fd75e50eea82c04f3d8991bc8f0ea629a459ca5a2848a4,1.8504731934517622,0.802764894755619,570,0,786.0186374713754,1598.4033203125,1.3887255078999565,0,0
179,0,0,0,0,0,15095,1.0,-0.04110024139245331,1.0,1.0041100241392453,44b6_808952d6,15742,1.0,181,794d6d0b7a84a76531c17dd1d477254fb39c533f0bf4a56aaaba15da3e9db720,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,5886b867c436aaf75828ee98d46a5e5513329117615e0b01f7c6c0db05a03a91,0.5932967257685959,0.9588997586075467,181,0,380.12547426810966,1015.98046875,2.1001407418127607,0,0
197,0,0,0,0,0,11284,1.0,0.12256267409470752,1.0,0.9877437325905293,44b6_81c256f0,10052,1.0,199,3f1d8bc910b4abd380bfde1f9014d2bfd021197d21bae665c022ef78a3f46e3e,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,df1c4cabec4ab9767dbf0096dd840f14f03b6748c6182fd9155277d3043572b3,0.5663781450130045,1.1225626740947074,199,0,428.0593434052887,1076.8798828125,2.1510519769109986,0,0
114,39,35,0,1,0,29253,0.934640522875817,0.040957938936730484,0.6063829787234043,0.6038993590219217,44b6_87bba6c4,28102,0.934640522875817,143,514cecd84f0614c8ead31e8c0806c0d0c0f24cf8ddb5349938de82ff7746f7e5,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,2c409c5331f1442e635e2b002a87667bd725d353b877dcfb062317aa2cbdbb1d,1.1012216140516102,1.0409579389367305,153,0,470.548876996515,1862.30078125,3.2905515873882165,0,0
386,6,10,0,0,0,18916,0.995,-0.41203531020763395,0.9601990049751243,0.9997625944627231,44b6_8cc6506c,32172,0.995,398,64e3b926b7c4e91cc6df26d73d3327b0aac04e52c182c5db8f1bfe0a8cd9b893,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,636afd311eb3f7131aec60a2bb7c03b468d1db22c6c3576efb2869d85c3d20ab,0.7039336822926998,0.587964689792366,400,0,519.6359094820024,975.2158203125,1.3056178630201065,0,0
564,49,40,0,3,0,27899,0.9821428571428571,0.011896557977585143,0.8637059724349158,0.8626784596172499,44b6_8f5ab931,27571,0.9821428571428571,605,b6604de2986c5e7c97f79d0125a9b11aea87e43bf1e360556d6856c2a3bc5bad,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,8b5e676cdd9aa66df9d854c96ce673a353e6e4724a602a126805c9863c0bcec8,1.2059720284305513,1.0118965579775852,616,0,1179.2518359150722,3652.4794921875,1.9491765882893755,0,0
364,5,6,0,0,0,41115,1.0,-0.4505766172677829,0.9706666666666667,1.014402636982793,44b6_8f9ecab4,74833,1.0,374,3e678c96174315e48e11fb0afe865f3bca01600481bdbc5633f3b9e481750bda,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,78467a85fc2f60c875776c393256390321e6d0d1e5bb20a38db7a0dd7258a090,1.5788094657473266,0.549423382732217,374,0,548.8822652675108,1311.0703125,1.4675996397527027,0,0
94,15,9,0,0,0,23407,1.0,-0.08322888923703588,0.7966101694915254,0.8032402674476962,44b6_90724892,25532,1.0,105,cc05c19800d2a38854f84491e3a66ea8991a71e5d89970e578dad98bdf291e8b,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,54b44677a71cd8622d3b87ec28e729f27d75637167bd42fa68965d31325654f3,0.8928355053067207,0.9167711107629641,105,0,209.1040816726183,685.4072265625,1.9914674445011267,0,0
344,40,34,0,0,0,39204,0.9768041237113402,0.054466230936819175,0.8229665071770335,0.8184841187937163,44b6_949adeb1,37179,0.9768041237113402,379,cf6c11ffe202996b101ec28fc4e18ad98ebf0d23d70192860c50c4fe4906bfc0,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,54e03cf19ad72612117d93b7868daf29b80c3c531c6ea230e0c721541e6ea99d,1.4927899087779224,1.0544662309368191,388,0,763.1196016254819,2358.408203125,2.0135081837083955,0,0
198,0,0,0,0,0,4791,1.0,-0.07169153264871149,1.0,1.0071691532648712,44b6_95029e92,5161,1.0,200,9e74cdb9a38ba2061dc7e118ec838e2432128d927ed8e296d248114b5851e09b,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,bfb5b02171a65e6c9f1b144e98414ab13b3b7ac078596a161030a1b5de4fee7a,0.2827409743331373,0.9283084673512885,200,0,211.78461494289166,324.466796875,1.0589230747144582,0,0
