dataset,embryo,detector,mean_center_score,changed_centers,mean_realized_shift_um,max_realized_shift_um,node_count_unchanged
44b6_a2bb48bb,44b6,synthetic,0.4232228696346283,10743,0.09761206897451469,0.5745242597140698,True
44b6_aaf8b0ea,44b6,real,0.4164094924926758,1897,0.051754813175135896,0.5745242597140698,True
44b6_aaf8b0ea,44b6,synthetic,0.42100587487220764,2332,0.063886255069365,0.5745242597140698,True
44b6_abf82518,44b6,real,0.4378800094127655,3594,0.05658781768661675,0.5745242597140698,True
44b6_abf82518,44b6,synthetic,0.45371001958847046,4742,0.0759146204651528,0.5745242597140698,True
44b6_b2c44266,44b6,real,0.43240609765052795,4717,0.05257948150962845,0.5745242597140698,True
44b6_b2c44266,44b6,synthetic,0.44898709654808044,6278,0.07074694779966735,0.5745242597140698,True
44b6_c15fded2,44b6,real,0.4063168168067932,2512,0.05582017330982993,0.5745242597140698,True
44b6_c15fded2,44b6,synthetic,0.41145119071006775,4649,0.10348172699183905,0.5745242597140698,True
44b6_c50204e0,44b6,real,0.4145048260688782,6824,0.07602895102153268,0.5745242597140698,True
44b6_c50204e0,44b6,synthetic,0.42221060395240784,8138,0.09065656972483724,0.5745242597140698,True
44b6_c771cb04,44b6,real,0.41381803154945374,3520,0.04936107885945519,0.5745242597140698,True
44b6_c771cb04,44b6,synthetic,0.4284057021141052,2328,0.032702380168919805,0.5745242597140698,True
44b6_c8e2a523,44b6,real,0.45674213767051697,6610,0.09899007041017344,0.5745242597140698,True
44b6_c8e2a523,44b6,synthetic,0.44751986861228943,13057,0.20207496735057573,0.5745242597140698,True
44b6_c96cfa10,44b6,real,0.4309597909450531,7282,0.08125553337456139,0.5745242597140698,True
44b6_c96cfa10,44b6,synthetic,0.4506247341632843,10722,0.1216820582528024,0.5745242597140698,True
44b6_cf2536e8,44b6,real,0.4527311325073242,3464,0.06449767564745573,0.5745242597140698,True
44b6_cf2536e8,44b6,synthetic,0.4539656937122345,5797,0.11001141675938893,0.5745242597140698,True
44b6_cf8fed6b,44b6,real,0.4578704535961151,10268,0.1055068692842358,0.5745242597140698,True
44b6_cf8fed6b,44b6,synthetic,0.43147099018096924,14885,0.15749197439765847,0.5745242597140698,True
44b6_d29c9ab2,44b6,real,0.4590745270252228,8520,0.10109129754073308,0.5745242597140698,True
44b6_d29c9ab2,44b6,synthetic,0.4331975281238556,14154,0.17274844769831793,0.5745242597140698,True
44b6_d2f34f90,44b6,real,0.4149644672870636,2682,0.07511922936906988,0.5745242597140698,True
44b6_d2f34f90,44b6,synthetic,0.42337289452552795,1629,0.04473273132984225,0.5745242597140698,True
44b6_d5e7d891,44b6,real,0.4175156056880951,8993,0.08810404766133309,0.5745242597140698,True
44b6_d5e7d891,44b6,synthetic,0.4266565144062042,12278,0.12105895201928293,0.5745242597140698,True
44b6_d754aa59,44b6,real,0.4065769910812378,1045,0.08096651425895528,0.5745242597140698,True
44b6_d754aa59,44b6,synthetic,0.39877939224243164,1438,0.11091152740787438,0.5745242597140698,True
44b6_d78e09d9,44b6,real,0.4148978590965271,3766,0.06798988091481718,0.5745242597140698,True
44b6_d78e09d9,44b6,synthetic,0.43050405383110046,5230,0.09539159069570702,0.5745242597140698,True
44b6_db3c847b,44b6,real,0.4137008488178253,2607,0.07088715021088765,0.5745242597140698,True
44b6_db3c847b,44b6,synthetic,0.42561402916908264,3100,0.08382442029937973,0.5745242597140698,True
44b6_ddf577ad,44b6,real,0.46002474427223206,7760,0.08585256055768538,0.5745242597140698,True
44b6_ddf577ad,44b6,synthetic,0.4737006723880768,13084,0.14830502088710812,0.5745242597140698,True
44b6_deabac95,44b6,real,0.4028327763080597,2332,0.06359280949241335,0.5745242597140698,True
44b6_deabac95,44b6,synthetic,0.41102173924446106,3389,0.09265881288826763,0.5745242597140698,True
44b6_e28840c6,44b6,real,0.4643891155719757,5260,0.08093654345895472,0.5745242597140698,True
44b6_e28840c6,44b6,synthetic,0.48536521196365356,8979,0.14348237449655032,0.5745242597140698,True
44b6_e29f0176,44b6,real,0.39637336134910583,3071,0.10026579640557219,0.5745242597140698,True
44b6_e29f0176,44b6,synthetic,0.3993646204471588,4086,0.13211653182258398,0.5745242597140698,True
44b6_e31261b4,44b6,real,0.43912869691848755,15048,0.09558812440413973,0.5745242597140698,True
44b6_e31261b4,44b6,synthetic,0.4515528976917267,20930,0.13560964513433468,0.5745242597140698,True
44b6_e35b117d,44b6,real,0.4169296622276306,2564,0.05396248731655102,0.5745242597140698,True
44b6_e35b117d,44b6,synthetic,0.42672932147979736,3151,0.06692614898363419,0.5745242597140698,True
44b6_e57ff5c6,44b6,real,0.40275338292121887,3674,0.09045590404145087,0.5745242597140698,True
44b6_e57ff5c6,44b6,synthetic,0.40424269437789917,2785,0.06775751981759913,0.5745242597140698,True
44b6_eb2880fc,44b6,real,0.46561795473098755,7475,0.08379285356532741,0.5745242597140698,True
44b6_eb2880fc,44b6,synthetic,0.4621896743774414,12401,0.1444115709166564,0.5745242597140698,True
44b6_f28707c6,44b6,real,0.3966171443462372,4114,0.08225627064449384,0.5745242597140698,True
44b6_f28707c6,44b6,synthetic,0.39717236161231995,5389,0.1079068438020764,0.5745242597140698,True
6bba_05b6850b,6bba,real,0.42641040682792664,2223,0.16471006604381938,0.5745242597140698,True
6bba_05b6850b,6bba,synthetic,0.4301920235157013,2253,0.16725973574779995,0.5745242597140698,True
6bba_05db0fb1,6bba,real,0.47541868686676025,30148,0.191091554850046,0.5745242597140698,True
6bba_05db0fb1,6bba,synthetic,0.4843835234642029,29930,0.18859918701455733,0.5745242597140698,True
6bba_062c8d37,6bba,real,0.4410672187805176,2549,0.19199454568997862,0.5745242597140698,True
6bba_062c8d37,6bba,synthetic,0.3679106533527374,2319,0.17448565409455682,0.5745242597140698,True
6bba_07477033,6bba,real,0.3659451901912689,1622,0.15491963988448215,0.5745242597140698,True
6bba_07477033,6bba,synthetic,0.3673318922519684,1995,0.19096279617131023,0.5745242597140698,True
6bba_07e24132,6bba,real,0.4875268340110779,9109,0.13508739376846304,0.5745242597140698,True
6bba_07e24132,6bba,synthetic,0.4930495321750641,8785,0.1311685450209125,0.5745242597140698,True
6bba_085bf656,6bba,real,0.4414503276348114,3339,0.17834506496108962,0.5745242597140698,True
6bba_085bf656,6bba,synthetic,0.45552879571914673,3709,0.20268012307198943,0.5745242597140698,True
6bba_09961292,6bba,real,0.44390973448753357,10750,0.16076602188737388,0.5745242597140698,True
6bba_09961292,6bba,synthetic,0.42818397283554077,10936,0.1649847497873554,0.5745242597140698,True
6bba_0c7fa718,6bba,real,0.42838621139526367,6065,0.21766171466709774,0.5745242597140698,True
6bba_0c7fa718,6bba,synthetic,0.38625481724739075,5465,0.19640315894378213,0.5745242597140698,True
6bba_0e7c0d07,6bba,real,0.4307239353656769,9642,0.19294324477308908,0.5745242597140698,True
6bba_0e7c0d07,6bba,synthetic,0.43710166215896606,9294,0.1846910272814832,0.5745242597140698,True
6bba_12665c0e,6bba,real,0.41305288672447205,2673,0.14751391819766282,0.5745242597140698,True
6bba_12665c0e,6bba,synthetic,0.39149683713912964,3036,0.1670398686692448,0.5745242597140698,True
6bba_13f19531,6bba,real,0.45657309889793396,2128,0.16454993247817204,0.5745242597140698,True
6bba_13f19531,6bba,synthetic,0.43630239367485046,2077,0.15801304865311205,0.5745242597140698,True
6bba_15403b9a,6bba,real,0.44452786445617676,2439,0.17041378918986302,0.5745242597140698,True
6bba_15403b9a,6bba,synthetic,0.40492430329322815,3136,0.22496916389854693,0.5745242597140698,True
6bba_1d0d8384,6bba,real,0.4730687737464905,8416,0.21760882345304575,0.5745242597140698,True
6bba_1d0d8384,6bba,synthetic,0.4152839481830597,8069,0.21287953973027499,0.5745242597140698,True
6bba_1ebfb80d,6bba,real,0.4179067015647888,4559,0.17687897011815876,0.5745242597140698,True
6bba_1ebfb80d,6bba,synthetic,0.41482147574424744,4864,0.1891110462118925,0.5745242597140698,True
6bba_1f58c2f6,6bba,real,0.4638737440109253,9823,0.13372617000564782,0.5745242597140698,True
6bba_1f58c2f6,6bba,synthetic,0.4749225080013275,11421,0.15688722032647626,0.5745242597140698,True
6bba_207c6aaf,6bba,real,0.4454537332057953,7163,0.1811596289192202,0.5745242597140698,True
6bba_207c6aaf,6bba,synthetic,0.4540904462337494,6844,0.17014429537143558,0.5745242597140698,True
6bba_20852818,6bba,real,0.45640307664871216,3930,0.17249909975661512,0.5745242597140698,True
6bba_20852818,6bba,synthetic,0.45610758662223816,4162,0.1877119883022091,0.5745242597140698,True
6bba_2312ac41,6bba,real,0.43113434314727783,5439,0.1960299997005075,0.5745242597140698,True
6bba_2312ac41,6bba,synthetic,0.434131383895874,5871,0.2111011680641512,0.5745242597140698,True
6bba_23af9eeb,6bba,real,0.4202181398868561,1064,0.11215805356472752,0.5745242597140698,True
6bba_23af9eeb,6bba,synthetic,0.38067811727523804,1341,0.1420483542409329,0.5745242597140698,True
6bba_2540cd90,6bba,real,0.47268345952033997,1012,0.12723004621443826,0.5745242597140698,True
6bba_2540cd90,6bba,synthetic,0.4310913681983948,1423,0.181108842100966,0.5745242597140698,True
6bba_2646afc7,6bba,real,0.40927380323410034,2136,0.18998765330224113,0.5745242597140698,True
6bba_2646afc7,6bba,synthetic,0.3952080011367798,1928,0.1635060203772974,0.5745242597140698,True
6bba_268e1230,6bba,real,0.39492303133010864,1533,0.14692294822308624,0.5745242597140698,True
6bba_268e1230,6bba,synthetic,0.38606488704681396,1804,0.1676677944517229,0.5745242597140698,True
6bba_2819ca14,6bba,real,0.4173709750175476,1833,0.1626137492022666,0.5745242597140698,True
6bba_2819ca14,6bba,synthetic,0.41499966382980347,2143,0.19396042974492592,0.5745242597140698,True
6bba_283bf9f1,6bba,real,0.4241548180580139,10145,0.2096369068763626,0.5745242597140698,True
6bba_283bf9f1,6bba,synthetic,0.42298227548599243,10834,0.2225560993563968,0.5745242597140698,True
6bba_312f0dc3,6bba,real,0.43602874875068665,3920,0.18200270962326873,0.5745242597140698,True
6bba_312f0dc3,6bba,synthetic,0.4301922917366028,4119,0.19242934061627678,0.5745242597140698,True
6bba_32db13fc,6bba,real,0.4557972252368927,17843,0.1779681524652645,0.5745242597140698,True
6bba_32db13fc,6bba,synthetic,0.45818957686424255,17523,0.17444282911716047,0.5745242597140698,True
6bba_337b1b3a,6bba,real,0.4837660491466522,14615,0.22256064093336334,0.5745242597140698,True
6bba_337b1b3a,6bba,synthetic,0.4486258327960968,15482,0.2394213364426382,0.5745242597140698,True
6bba_372c8cb8,6bba,real,0.44557154178619385,1944,0.12804791186484588,0.5745242597140698,True
6bba_372c8cb8,6bba,synthetic,0.4150749444961548,1934,0.12888884461065606,0.5745242597140698,True
6bba_3a1849c2,6bba,real,0.42500802874565125,1686,0.11251603186531575,0.5745242597140698,True
6bba_3a1849c2,6bba,synthetic,0.4147951006889343,1760,0.11820917385398301,0.5745242597140698,True
6bba_3abfe10a,6bba,real,0.4609922468662262,17878,0.14846337150814326,0.5745242597140698,True
6bba_3abfe10a,6bba,synthetic,0.4654739797115326,18602,0.15312631769328106,0.5745242597140698,True
6bba_3c5691b6,6bba,real,0.4572892487049103,1706,0.12117285749247005,0.5745242597140698,True
6bba_3c5691b6,6bba,synthetic,0.4323480725288391,2087,0.1468937261425219,0.5745242597140698,True
6bba_3db54e20,6bba,real,0.4264097809791565,9846,0.18797377010894786,0.5745242597140698,True
6bba_3db54e20,6bba,synthetic,0.44186586141586304,9581,0.1825969180616947,0.5745242597140698,True
6bba_3fda6b25,6bba,real,0.4809703528881073,3690,0.19421363872922928,0.5745242597140698,True
6bba_3fda6b25,6bba,synthetic,0.439632773399353,3740,0.20595020604468353,0.5745242597140698,True
6bba_43fea39d,6bba,real,0.36510083079338074,2290,0.18780511464107252,0.5745242597140698,True
