variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,seconds,requested_keep,realized_keep,baseline_tp_rematched_surviving,newly_recovered_tp,lost_tp,removed_fp,introduced_fp,delta
E_logistic_m0.5,44b6,71,71,0.8979183537369599,0.09803921568627451,5,25,21,0.9885509592005769,0.9125906009104449,71,0.9223945224790723,18850,1167,976,1980130,72.10431694798172,1.0,1.0,18775,75,8,166,11,0.009873379365606616
E_logistic_m0.5,6bba,128,128,0.9079142108996646,0.09693877551020408,19,71,106,0.9802489030388399,0.9081128849738416,128,0.9178067625248619,103672,5130,5385,2153557,126.03439009655267,1.0,1.0,103399,273,19,466,33,0.006209997635396758
E_logistic_m0.5,pooled,199,199,0.9063618878532327,0.09716599190283401,24,96,127,0.9832109431769471,0.9088082592204543,199,0.9185248584107377,122522,6297,6361,4133687,198.13870704453439,1.0,1.0,122174,348,27,632,44,0.006750844192095373
E_logistic_m1.5,44b6,71,71,0.8965123471475472,0.09803921568627451,5,25,21,0.9885509592005769,0.911165958279307,71,0.9209698798479344,18842,1191,984,1980130,72.50253829034045,1.0,1.0,18777,65,6,137,6,0.008448736734468776
E_logistic_m1.5,6bba,128,128,0.9055133944184095,0.09693877551020408,19,71,106,0.9802489030388399,0.9057099084349022,128,0.9154037859859225,103569,5319,5488,2153557,126.37883852189407,1.0,1.0,103406,163,12,263,19,0.0038070210964573636
E_logistic_m1.5,pooled,199,199,0.9041161655329301,0.09716599190283401,24,96,127,0.9832109431769471,0.90655684882015,199,0.9162734480104334,122411,6510,6472,4133687,198.88137681223452,1.0,1.0,122183,228,18,400,25,0.004499433791791074
E_native_m0.5,44b6,71,71,0.8946943428490002,0.09803921568627451,5,25,21,0.9885509592005769,0.9093237295884201,71,0.9191276511570475,18836,1227,990,1980130,72.99307256704196,1.0,1.0,18772,64,11,110,15,0.006606508043581871
E_native_m0.5,6bba,128,128,0.9087923636045188,0.09137055837563451,18,72,107,0.9802489030388399,0.9089974978178397,128,0.9181345536554031,103775,5133,5282,2153557,125.27297730371356,1.0,1.0,103390,385,28,465,35,0.006537788765937913
E_native_m0.5,pooled,199,199,0.9065977536730182,0.09274193548387097,23,97,128,0.9832109431769471,0.9090482816474355,199,0.9183224751958226,122611,6360,6272,4133687,198.26604987075552,1.0,1.0,122162,449,39,575,50,0.006548460977180204
E_native_m1.5,44b6,71,71,0.8911158493248046,0.09803921568627451,5,25,21,0.9885509592005769,0.9057011068314919,71,0.9155050284001193,18807,1279,1019,1980130,73.78038046183065,1.0,1.0,18781,26,2,46,3,0.002983885286653609
E_native_m1.5,6bba,128,128,0.9054565477699212,0.09137055837563451,18,72,107,0.9802489030388399,0.9056562537959627,128,0.9147933096335261,103596,5356,5461,2153557,122.80303975986317,1.0,1.0,103415,181,3,212,5,0.0031965447440609474
E_native_m1.5,pooled,199,199,0.9032231880635783,0.09274193548387097,23,97,128,0.9832109431769471,0.9056632390179615,199,0.9149374325663486,122403,6635,6480,4133687,196.5834202216938,1.0,1.0,122196,207,5,258,8,0.0031634183477062816
F_hgb_geometry_tracklet_r0.5,44b6,71,71,0.7858057175366235,0.027777777777777776,1,10,25,0.8914745395670679,0.8320669531890487,71,0.8348447309668264,16575,1267,3251,990250,45.10271712159738,0.5,0.500093428209259,16278,297,2505,347,292,-0.07767641214663923
F_hgb_geometry_tracklet_r0.5,6bba,128,128,0.634344648396419,0.02857142857142857,4,15,121,0.6783797264739235,0.6660109973226276,128,0.6688681401797705,71778,4096,37279,1077252,90.26701277960092,0.5,0.5002198688031011,70638,1140,32780,2454,987,-0.2427286247096947
F_hgb_geometry_tracklet_r0.5,pooled,199,199,0.6581425144883274,0.028409090909090908,5,25,146,0.7544085291352967,0.6921020412054281,199,0.6949429502963371,88353,5363,40530,2067502,135.3697299011983,0.5,0.5001593008856259,86916,1437,35285,2801,1279,-0.21683106392230522
F_hgb_geometry_tracklet_r0.7,44b6,71,71,0.8609992896045465,0.024390243902439025,1,15,25,0.9552213111125313,0.8969101715789741,71,0.899349195969218,18180,1289,1646,1386258,57.16205769777298,0.7,0.7000843378970067,18015,165,768,172,139,-0.013171947144247631
F_hgb_geometry_tracklet_r0.7,6bba,128,128,0.771712332973618,0.05732484076433121,9,32,116,0.8314183419820713,0.7948640247909873,128,0.8005965088674204,87959,4922,21098,1507779,106.30838949978352,0.7,0.7001342430221257,87329,630,16089,1218,577,-0.11100025602204477
F_hgb_geometry_tracklet_r0.7,pooled,199,199,0.7856677572653116,0.050505050505050504,10,47,141,0.8755892505663058,0.8108136923515624,199,0.8158641974020675,106139,6211,22744,2894037,163.4704471975565,0.7,0.700110337333233,105344,795,16857,1390,716,-0.09590981681657484
