embryo,model_id,bin,n,mean_score,annotation_rate
6bba,logistic_all_C1,1,6780,0.1296001523733139,0.23967551622418878
6bba,logistic_all_C1,2,665,0.2373277246952057,0.3172932330827068
6bba,logistic_all_C1,3,145,0.336947500705719,0.43448275862068964
6bba,logistic_all_C1,4,39,0.4355683922767639,0.3076923076923077
6bba,logistic_all_C1,5,10,0.5388075113296509,0.1
6bba,logistic_all_C1,6,4,0.6419457197189331,0.0
6bba,logistic_all_C1,7,2,0.7613344192504883,0.0
6bba,logistic_all_C1,8,1,0.8826298713684082,0.0
6bba,logistic_all_C10,0,2238357,0.008214486762881279,0.045667424812038476
6bba,logistic_all_C10,1,6900,0.1295343041419983,0.24057971014492754
6bba,logistic_all_C10,2,672,0.23694506287574768,0.3288690476190476
6bba,logistic_all_C10,3,152,0.3368484675884247,0.48026315789473684
6bba,logistic_all_C10,4,37,0.43794044852256775,0.32432432432432434
6bba,logistic_all_C10,5,11,0.5392409563064575,0.09090909090909091
6bba,logistic_all_C10,6,3,0.6419454216957092,0.0
6bba,logistic_all_C10,7,2,0.7480241060256958,0.0
6bba,logistic_all_C10,8,1,0.8753170371055603,0.0
6bba,logistic_appearance_quality_C0.1,0,2243793,0.008611307479441166,0.046261397553161096
6bba,logistic_appearance_quality_C0.1,1,2048,0.12902534008026123,0.17724609375
6bba,logistic_appearance_quality_C0.1,2,233,0.23739825189113617,0.0815450643776824
6bba,logistic_appearance_quality_C0.1,3,37,0.34028616547584534,0.08108108108108109
6bba,logistic_appearance_quality_C0.1,4,13,0.4586890935897827,0.07692307692307693
6bba,logistic_appearance_quality_C0.1,5,6,0.5557501912117004,0.0
6bba,logistic_appearance_quality_C0.1,6,3,0.6485768556594849,0.0
6bba,logistic_appearance_quality_C0.1,7,2,0.7413202524185181,0.0
6bba,logistic_appearance_quality_C1,0,2242546,0.008670462295413017,0.04617207406224889
6bba,logistic_appearance_quality_C1,1,3072,0.12976320087909698,0.19205729166666666
6bba,logistic_appearance_quality_C1,2,395,0.23631727695465088,0.11139240506329114
6bba,logistic_appearance_quality_C1,3,79,0.34420427680015564,0.11392405063291139
6bba,logistic_appearance_quality_C1,4,26,0.44105273485183716,0.0
6bba,logistic_appearance_quality_C1,5,9,0.5585246682167053,0.1111111111111111
6bba,logistic_appearance_quality_C1,6,3,0.6486913561820984,0.0
6bba,logistic_appearance_quality_C1,7,3,0.7564237713813782,0.0
6bba,logistic_appearance_quality_C1,8,2,0.8432300686836243,0.0
6bba,logistic_appearance_quality_C10,0,2242356,0.00867618527263403,0.04615458027182125
6bba,logistic_appearance_quality_C10,1,3225,0.12991392612457275,0.19596899224806202
6bba,logistic_appearance_quality_C10,2,418,0.23653462529182434,0.11961722488038277
6bba,logistic_appearance_quality_C10,3,87,0.34169337153434753,0.10344827586206896
6bba,logistic_appearance_quality_C10,4,32,0.44336065649986267,0.0
6bba,logistic_appearance_quality_C10,5,7,0.5532935857772827,0.14285714285714285
6bba,logistic_appearance_quality_C10,6,4,0.6258050799369812,0.0
6bba,logistic_appearance_quality_C10,7,4,0.7539802193641663,0.0
6bba,logistic_appearance_quality_C10,8,2,0.8537859916687012,0.0
6bba,logistic_geometry_time_C0.1,0,2246135,0.0065587786957621574,0.04638501247698825
6bba,logistic_geometry_time_C1,0,2246135,0.006560856476426125,0.04638501247698825
6bba,logistic_geometry_time_C10,0,2246135,0.006561068817973137,0.04638501247698825
6bba,logistic_predicted_temporal_C0.1,0,2246135,0.006460426840931177,0.04638501247698825
6bba,logistic_predicted_temporal_C1,0,2246135,0.006461378652602434,0.04638501247698825
6bba,logistic_predicted_temporal_C10,0,2246135,0.006461477372795343,0.04638501247698825
6bba,image_only_seed20260908,0,2246135,0.008714716881513596,0.04638501247698825
6bba,image_only_seed314159,0,2246135,0.0055433157831430435,0.04638501247698825
6bba,image_plus_tabular_seed20260908,0,2245238,0.009531660936772823,0.0463696944377389
6bba,image_plus_tabular_seed20260908,1,892,0.11821340024471283,0.08520179372197309
6bba,image_plus_tabular_seed20260908,2,4,0.2229253053665161,0.0
6bba,image_plus_tabular_seed20260908,9,1,0.9813272356987,0.0
6bba,image_plus_tabular_seed314159,0,2230871,0.013570371083915234,0.04597307509040191
6bba,image_plus_tabular_seed314159,1,14825,0.12498112767934799,0.10569983136593591
6bba,image_plus_tabular_seed314159,2,437,0.2227480262517929,0.13729977116704806
6bba,image_plus_tabular_seed314159,3,2,0.34384429454803467,0.0
44b6,constant,0,2890526,0.046791668981313705,0.0066036423820439605
44b6,hgb_all_leaf15,0,2819055,0.02778845652937889,0.006214493864078565
44b6,hgb_all_leaf15,1,60589,0.13056042790412903,0.0211589562461833
44b6,hgb_all_leaf15,2,7829,0.23741601407527924,0.027078809554221484
44b6,hgb_all_leaf15,3,2003,0.338379442691803,0.022965551672491265
44b6,hgb_all_leaf15,4,603,0.4402921199798584,0.03150912106135987
44b6,hgb_all_leaf15,5,267,0.5426391363143921,0.02247191011235955
44b6,hgb_all_leaf15,6,107,0.6406696438789368,0.028037383177570093
44b6,hgb_all_leaf15,7,47,0.7390252947807312,0.02127659574468085
44b6,hgb_all_leaf15,8,26,0.8330743312835693,0.0
44b6,hgb_all_leaf7,0,2827670,0.02909138984978199,0.00623693712491203
44b6,hgb_all_leaf7,1,56216,0.12847618758678436,0.022164508325032018
44b6,hgb_all_leaf7,2,5019,0.2354397028684616,0.029886431560071727
44b6,hgb_all_leaf7,3,1024,0.3400898873806,0.0361328125
44b6,hgb_all_leaf7,4,338,0.441168874502182,0.038461538461538464
44b6,hgb_all_leaf7,5,158,0.540751039981842,0.02531645569620253
44b6,hgb_all_leaf7,6,65,0.6373447179794312,0.03076923076923077
44b6,hgb_all_leaf7,7,16,0.7499379515647888,0.0
44b6,hgb_all_leaf7,8,19,0.8371341824531555,0.0
44b6,hgb_all_leaf7,9,1,0.9057079553604126,0.0
44b6,hgb_all_leaf7_ambiguous_excluded,0,2820971,0.02923402562737465,0.006188649227517759
44b6,hgb_all_leaf7_ambiguous_excluded,1,60825,0.12900935113430023,0.022392108508014798
44b6,hgb_all_leaf7_ambiguous_excluded,2,6531,0.236786350607872,0.03154187720104119
44b6,hgb_all_leaf7_ambiguous_excluded,3,1412,0.33943313360214233,0.024079320113314446
44b6,hgb_all_leaf7_ambiguous_excluded,4,520,0.4436973035335541,0.03653846153846154
44b6,hgb_all_leaf7_ambiguous_excluded,5,176,0.5388242602348328,0.045454545454545456
