embryo,direction,model_id,subset,n,prevalence,auroc,average_precision,ap_over_prevalence,brier,interpretation,randomization_unit
44b6,6bba->44b6,hgb_all_leaf7_high_confidence,all,2890526,0.0066036423820439605,0.6622911628605055,0.01136578193211496,1.7211383164872447,0.008281952701508999,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf7_high_confidence,high_confidence,2256020,0.007533621155840817,0.671871764241926,0.014617991653093142,1.940367235185408,0.008858229964971542,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf7_high_confidence,exclude_ambiguous_diagnostic,2885187,0.0066158623340532175,0.6622762465574212,0.011384395204343018,1.7207726868416189,0.00829359982162714,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf7_shuffled,all,2890526,0.0066036423820439605,0.4575201808054657,0.005986264298285079,0.9065094612879702,0.007601505145430565,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf7_shuffled,high_confidence,2256020,0.007533621155840817,0.4547765554384688,0.00681350954192945,0.9044136147789879,0.00850707944482565,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf7_shuffled,exclude_ambiguous_diagnostic,2885187,0.0066158623340532175,0.4573583343039855,0.005995128600444363,0.9061749319640754,0.007613093592226505,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf7_synthetic,all,2890526,0.0066036423820439605,0.4601572043042665,0.005883048216902664,0.8908792869976315,0.008323614485561848,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf7_synthetic,high_confidence,2256020,0.007533621155840817,0.4581482714553933,0.006669067133269789,0.8852405762531955,0.009183231741189957,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_all_leaf7_synthetic,exclude_ambiguous_diagnostic,2885187,0.0066158623340532175,0.4600567534443684,0.005892316128593251,0.8906346340165328,0.008335234597325325,"Matched sparse-GT membership, not true-cell status",
44b6,6bba->44b6,hgb_appearance_quality_leaf15,all,2890526,0.0066036423820439605,0.6418113130517085,0.010938466889516878,1.6564293244073587,0.007808914873749018,"Matched sparse-GT membership, not true-cell status",
